fish_id,survey,date_received,notes,dissection_date,fork_length,total_weight,brain_weight,liver_weight,gonad_weight,muscle_1_weight,muscle_2_weight,glycogen_per_tissue,Parentage.sup,Candidate_mother_ID.sup,Candidate_father_ID.sup,Trio_confidence.sup,PC.sup,origin.sup,Batch.sup,Parentage.ref,Candidate_mother_ID.ref,Candidate_father_ID.ref,Trio_confidence.ref,PC.ref,origin.ref,Batch.ref,Year,SurveyNumber,SampleDate,StationCode,SampleTimeStart,CommonName,ForkLength.x,ReproductiveStage,Sex,VIE,AdFinPresent,Secchi,ConductivityTop,WaterTemperature,Turbidity,DepthBottom,Latitude,Longitude,TideCode,SKTNotes,SampleID,Date,Station,Stratum,target_latitude,target_longitude,OrganismCode,MarkCode,ForkLength.y,Dead,SpecialStudy,DO,EC,Temp,Turb,Catch,Num_Code9,casette_number,staging_eggs,sex,liver_gd,liver_lip,liver_scn,liver_inf,liver_ma,liver_epd,liver_sc,gill_anu,gill_gcn,gill_cch,gill_mch,gill_ech,gill_sle,gill_parasite,gill_inf,gill_fusion,lesions,liver_lesions,gill_lesions,histo_comments
S101,edsm,2021-12-22,gonad placed in formalin first (Bruce),2022-02-23,54,1.2752,0.0082,10.5,NA,15.9,30.7,4.040448425,Supplementation_Parents,154111,154112,*,411,NA,1,Refuge_Parents,150281,150592,*,FALSE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377612,2021-12-17,22-20-LSR02,Lower Sacramento,38.07528,-121.76174,DSM,AdClipped,55,Yes,S,10.36,340.7999878,9.899999619,30,1,0,22ST3-1,3.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
S102,edsm,2021-12-22,NA,2022-02-23,62,2.335,0.0131,19.8,61,26.1,78.2,10.06389418,Supplementation_Parents,150241,150242,*,24,NA,1,Refuge_Parents,150241,150242,*,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377615,2021-12-17,22-20-RV05,Lower Sacramento,38.15227,-121.68227,DSM,AdClipped,68,No,S,10.06,198.1000061,9.100000381,50.59999847,1,0,22ST3-2,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
S103,edsm,2021-12-22,no anal fin,2022-02-23,77,3.7889,0.0172,13.3,109.1,45.3,70.4,13.62925025,Supplementation_Parents,150561,150562,*,56,NA,1,Refuge_Parents,150561,150562,*,56,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377615,2021-12-17,22-20-RV05,Lower Sacramento,38.15227,-121.68227,DSM,AdClipped,79,No,S,10.06,198.1000061,9.100000381,50.59999847,1,0,22ST3-3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,photo normal gill and liver
S104,edsm,2021-12-22,mushy liver,2022-02-23,82,5.4282,0.0156,25.9,451.3,46.6,59.6,10.5590755,Supplementation_Parents,150111,150112,*,11,NA,1,Refuge_Parents,150111,150112,*,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377616,2021-12-17,22-20-RV05,Lower Sacramento,38.15227,-121.68227,DSM,AdClipped,82,No,S,9.97,190.1999969,9.199999809,53.90000153,1,0,22ST3-4,5.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,photo ripe ovary
S105,edsm,2021-12-22,NA,2022-02-23,72,2.7715,0.015,17.1,65.8,51.9,56.8,10.81382192,Supplementation_Parents,150561,150562,*,56,NA,1,Refuge_Parents,150561,150562,*,56,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377616,2021-12-17,22-20-RV05,Lower Sacramento,38.15227,-121.68227,DSM,AdClipped,72,No,S,9.97,190.1999969,9.199999809,53.90000153,1,0,22ST3-5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S106,edsm,2021-12-22,NA,2022-02-23,77,4.8122,0.0169,43.4,484.2,37.3,51.2,5.265884875,Supplementation_Parents,150051,150052,*,5,NA,1,Refuge_Parents,150051,150052,*,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377619,2021-12-17,22-20-RV02,Lower Sacramento,38.13959,-121.69361,DSM,AdClipped,80,No,S,10,214,9.399999619,49.79999924,1,0,22ST3-6,5.0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,
S107,edsm,2021-12-22,NA,2022-02-23,60,1.8571,0.0139,15.7,33,32.9,41.5,2.44169313,Supplementation_Parents,154101,154102,*,410,NA,1,Refuge_Parents,151111,152532,*,FALSE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377796,2021-12-21,22-21-USSC02,Sac DW Ship Channel,38.56252,-121.55421,DSM,VIE,54,Yes,S,10.24,1113,10.60000038,15.5,1,0,22ST3-7,,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,artefacts from sampling/dissection?
S201,edsm,2022-01-07,no LN liver and gonad,2022-02-23,49,0.7509,0.0082,6.2,3.3,11.8,19.8,#N/A,Supplementation_Parents,154251,150052,NA,FALSE,NA,1,Refuge_Parents,150841,150842,*,84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377975,2021-12-23,22-21-PP02,Lower San Joaquin,38.09115,-121.57612,DSM,AdClipped,53,No,S,10.37,622,9.399999619,18.39999962,1,0,22ST3-8,,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
S108,edsm,2022-01-07,no LN liver,2022-02-23,55,1.2486,0.007,3.4,15.1,15.5,14.1,#N/A,Supplementation_Parents,154101,154102,*,410,NA,1,Refuge_Parents,152801,151902,NA,FALSE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377969,2021-12-23,22-21-RV02,Lower Sacramento,38.10469,-121.69494,DSM,AdClipped,53,No,S,10.25,410,8.600000381,37.59999847,1,0,22ST3-9,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S109,edsm,2022-01-07,NA,2022-02-23,80,4.5329,0.0199,65.3,338.2,33.3,43.5,7.979985309,Supplementation_Parents,150111,150112,*,11,NA,1,Refuge_Parents,150111,150112,*,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377970,2021-12-23,22-21-RV02,Lower Sacramento,38.10469,-121.69494,DSM,AdClipped,80,No,S,10.35,403,8.5,40.70000076,1,0,22ST3-10,5.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,photo gill
